iter	Passed	Remaining
625	8366	4998
626	8377	4983
627	8389	4969
628	8400	4955
629	8412	4940
630	8423	4926
631	8435	4911
632	8446	4897
633	8457	4882
634	8469	4868
635	8483	4855
636	8495	4841
637	8508	4827
638	8519	4813
639	8531	4798
640	8542	4784
641	8556	4771
642	8569	4757
643	8581	4743
644	8591	4728
645	8601	4713
646	8613	4699
647	8623	4684
648	8634	4669
649	8644	4654
650	8655	4640
651	8666	4625
652	8676	4610
653	8687	4595
654	8697	4581
655	8709	4567
656	8721	4553
657	8732	4538
658	8744	4524
659	8756	4511
660	8768	4497
661	8781	4483
662	8793	4469
663	8806	4456
664	8817	4442
665	8829	4427
666	8841	4414
667	8853	4400
668	8864	4386
669	8876	4371
670	8888	4358
671	8900	4344
672	8913	4330
673	8926	4317
674	8937	4303
675	8949	4289
676	8961	4275
677	8974	4262
678	8986	4248
679	8998	4234
680	9010	4220
681	9022	4206
682	9035	4193
683	9047	4179
684	9060	4166
685	9072	4152
686	9083	4138
687	9095	4124
688	9107	4110
689	9119	4097
690	9131	4083
691	9144	4069
692	9155	4056
693	9167	4042
694	9179	4028
695	9191	4014
696	9202	4000
697	9214	3986
698	9227	3973
699	9239	3959
700	9251	3945
701	9263	3932
702	9275	3918
703	9287	3905
704	9299	3891
705	9311	3877
706	9323	3864
707	9335	3850
708	9347	3836
709	9359	3822
710	9371	3809
711	9383	3795
712	9394	3781
713	9406	3767
714	9418	3754
715	9429	3740
716	9441	3726
717	9453	3712
718	9465	3699
719	9477	3685
720	9489	3672
721	9501	3658
722	9513	3645
723	9526	3631
724	9538	3618
725	9550	3604
726	9562	3590
727	9573	3577
728	9585	3563
729	9597	3549
730	9609	3536
731	9621	3522
732	9634	3509
733	9645	3495
734	9657	3481
735	9669	3468
736	9680	3454
737	9692	3440
738	9703	3427
739	9715	3413
740	9727	3399
741	9739	3386
742	9750	3372
743	9762	3358
744	9773	3345
745	9785	3331
746	9797	3318
747	9811	3305
748	9822	3291
749	9834	3278
750	9845	3264
751	9857	3250
752	9869	3237
753	9881	3223
754	9893	3210
755	9905	3196
756	9916	3183
757	9928	3169
758	9939	3156
759	9951	3142
760	9963	3129
761	9975	3115
762	9986	3102
763	9998	3088
764	10010	3075
765	10022	3061
766	10034	3048
767	10046	3034
768	10057	3021
769	10069	3007
770	10081	2994
771	10092	2980
772	10104	2967
773	10115	2953
774	10127	2940
775	10139	2926
776	10151	2913
777	10162	2899
778	10174	2886
779	10186	2873
780	10199	2860
781	10213	2847
782	10226	2834
783	10238	2820
784	10250	2807
785	10262	2794
786	10274	2780
787	10286	2767
788	10298	2753
789	10309	2740
790	10321	2727
791	10332	2713
792	10346	2700
793	10358	2687
794	10369	2673
795	10381	2660
796	10393	2647
797	10405	2634
798	10419	2621
799	10431	2607
800	10443	2594
801	10454	2580
802	10466	2567
803	10478	2554
804	10489	2540
805	10501	2527
806	10513	2514
807	10525	2501
808	10538	2488
809	10551	2474
810	10565	2462
811	10578	2449
812	10590	2435
813	10602	2422
814	10614	2409
815	10626	2396
816	10639	2383
817	10651	2369
818	10667	2357
819	10680	2344
820	10692	2331
821	10705	2318
822	10717	2305
823	10729	2291
824	10741	2278
825	10753	2265
826	10766	2252
827	10779	2239
828	10791	2226
829	10804	2212
830	10816	2199
831	10828	2186
832	10840	2173
833	10852	2160
834	10864	2146
835	10876	2133
836	10888	2120
837	10900	2107
838	10913	2094
839	10927	2081
840	10940	2068
841	10951	2055
842	10962	2041
843	10975	2028
844	10987	2015
845	10999	2002
846	11013	1989
847	11027	1976
848	11040	1963
849	11051	1950
850	11064	1937
851	11075	1923
852	11087	1910
853	11101	1897
854	11112	1884
855	11125	1871
856	11138	1858
857	11151	1845
858	11161	1832
859	11175	1819
860	11188	1806
861	11199	1793
862	11211	1779
863	11223	1766
864	11234	1753
865	11246	1740
866	11257	1726
867	11269	1713
868	11281	1700
869	11292	1687
870	11304	1674
871	11315	1661
872	11328	1648
873	11340	1634
874	11352	1621
875	11366	1609
876	11378	1595
877	11391	1582
878	11405	1570
879	11419	1557
